pagenation	region	hpatitisc-incidence	heptitisc-ir	heptitisc-death	heptitisc-dr	heptitisb-incidence	heptitisb-death	heptitisb-ir	heptitisb-dr	hepatitise-incidence	hepatitise-death	hepatitise-ir	hepatitise-dr	hepatitisa-incidence	hepatitisa-death	hepatitisa-ir	hepatitisa-dr	hepatitis-incidence	hepatitis-death	hepatitis-ir	hepatitis-dr	hepatitisun-incidence	hepatitisun-death	hepatitisun-ir	hepatitisun-dr
2015-07	全    国	17676	1.2974	2	0.0001	78918	24	5.7923	0.0018	1991	1	0.1461	0.0001	2008	0	0.1474		102935	28	7.555	0.0021	2342	1	0.1719	0.0001
2014-05	宁    夏	51	0.7796	0		443	0	6.7717		3	0	0.0459		17	0	0.2599		516	0	7.8876		2	0	0.0306	
2010-10	吉林省	601	2.1938	0		1329	0	4.8511		17	0	0.0621		18	0	0.0657		2023	0	7.3844		58	0	0.2117	
2006-11	黑龙江省	329	0.8613	1	0.0026	1929	0	5.0497		50	0	0.1309		59	0	0.1545		2532	1	6.6283	0.0026	165	0	0.4319	
2004-03	河南省	379	0.391	1	0.001	9816	2	10.1279	0.0021	27	0	0.0279		732	0	0.7553		11193	3	11.5487	0.0031	239	0	0.2466	
2011-11	浙江省	167	0.3068	0		2386	2	4.3839	0.0037	163	0	0.2995		34	0	0.0625		2984	2	5.4826	0.0037	234	0	0.4299	
2007-06	重庆市	100	0.3561	0		2740	3	9.7578	0.0107	21	0	0.0748		225	0	0.8013		3209	3	11.4281	0.0107	123	0	0.438	
2015-07	辽宁省	624	1.4211	0		1596	0	3.6347		66	0	0.1503		333	0	0.7584		2768	0	6.3038		149	0	0.3393	
2016-02	湖北省	701	1.2053	0		4935	3	8.4852	0.0052	250	0	0.4298		59	0	0.1014		6075	3	10.4453	0.0052	130	0	0.2235	
2011-08	全    国	15019	1.1201	7	0.0005	96947	51	7.2299	0.0038	2116	4	0.1578	0.0003	3060	1	0.2282	0.0001	120962	64	9.0209	0.0048	3820	1	0.2849	0.0001
2013-06	安徽省	392	0.6546	0		2757	2	4.6042	0.0033	116	0	0.1937		49	0	0.0818		3492	2	5.8317	0.0033	178	0	0.2973	
2005-10	青海省	56	1.0411	0		923	1	17.1595	0.0186	3	0	0.0558		78	0	1.4501		1082	2	20.1154	0.0372	22	1	0.409	0.0186
2008-06	全    国	8878	0.6719	4	0.0003	98419	62	7.4487	0.0047	1425	4	0.1078	0.0003	5284	1	0.3999	0.0001	118700	78	8.9836	0.0059	4694	7	0.3553	0.0005
