pagenation	region	hpatitisc-incidence	heptitisc-ir	heptitisc-death	heptitisc-dr	heptitisb-incidence	heptitisb-death	heptitisb-ir	heptitisb-dr	hepatitise-incidence	hepatitise-death	hepatitise-ir	hepatitise-dr	hepatitisa-incidence	hepatitisa-death	hepatitisa-ir	hepatitisa-dr	hepatitis-incidence	hepatitis-death	hepatitis-ir	hepatitis-dr	hepatitisun-incidence	hepatitisun-death	hepatitisun-ir	hepatitisun-dr
2014-01	新疆	1053	4.6504	0		3388	1	14.9627	0.0044	21	0	0.0927		347	0	1.5325		4881	1	21.5563	0.0044	72	0	0.318	
2015-10	河北省	702	0.9507	0		4675	2	6.3315	0.0027	60	0	0.0813		34	0	0.046		5537	2	7.4989	0.0027	66	0	0.0894	
2012-02	西    藏	5	0.1648	0		55	0	1.8133						8	0	0.2638		68	0	2.2419					
2011-12	上海市	40	0.1738	0		357	0	1.5509		45	0	0.1955		28	0	0.1216		508	0	2.2069		38	0	0.1651	
2005-12	广东省	313	0.3428	0		5981	11	6.551	0.012	65	0	0.0712		122	0	0.1336		6703	11	7.3418	0.012	222	0	0.2432	
2013-12	广    西	746	1.5933	0		2827	2	6.038	0.0043	93	0	0.1986		42	0	0.0897		3887	2	8.302	0.0043	179	0	0.3823	
2008-05	江苏省	160	0.2098	0		1544	1	2.0249	0.0013	231	0	0.303		172	0	0.2256		2446	1	3.2079	0.0013	339	0	0.4446	
2008-03	山西省	412	1.2143	1	0.0029	3949	1	11.6387	0.0029	14	0	0.0413		112	0	0.3301		4610	2	13.5868	0.0059	123	0	0.3625	
2006-12	贵州省	79	0.2118	0		1513	2	4.0563	0.0054	4	0	0.0107		355	0	0.9517		2040	2	5.4692	0.0054	89	0	0.2386	
2009-04	河南省	2009	2.1307	4	0.0042	14358	3	15.2275	0.0032	54	0	0.0573		369	0	0.3913		16910	7	17.934	0.0074	120	0	0.1273	
2010-06	黑龙江省	439	1.1474	1	0.0026	1219	4	3.1861	0.0105	26	0	0.068		23	0	0.0601		1803	5	4.7125	0.0131	96	0	0.2509	
2009-07	安徽省	217	0.3537	0		2970	9	4.8411	0.0147	92	0	0.15		105	1	0.1711	0.0016	3563	10	5.8077	0.0163	179	0	0.2918	
2007-03	广    西	433	0.9176	0		3202	5	6.7853	0.0106	52	0	0.1102		185	0	0.392		4112	5	8.7137	0.0106	240	0	0.5086	
2010-02	江苏省	120	0.1553	0		894	0	1.1573		421	1	0.545	0.0013	97	0	0.1256		1788	1	2.3146	0.0013	256	0	0.3314	
2015-02	贵州省	296	0.8438	0		1408	0	4.0136		36	0	0.1026		20	0	0.057		1781	0	5.0769		21	0	0.0599	
2005-04	辽宁省	267	0.6332	1	0.0024	2611	2	6.1917	0.0047	253	2	0.6	0.0047	232	2	0.5502	0.0047	3644	7	8.6414	0.0166	281	0	0.6664	
2004-04	全国	3368	0.2591	4	0.0003	83752	57	6.4431	0.0044	1752	4	0.1348	0.0003	8473	3	0.6518	0.0002	105671	84	8.1293	0.0065	8326	16	0.6405	0.0012
2011-12	西    藏	2	0.0667	0		60	0	2.0005						7	0	0.2334		71	0	2.3672		2	0	0.0667	
2009-07	江苏省	166	0.2162	1	0.0013	1322	4	1.722	0.0052	208	0	0.2709		134	0	0.1745		2170	5	2.8265	0.0065	340	0	0.4429	
2009-05	新疆	714	3.3509	0		4261	3	19.9972	0.0141	14	0	0.0657		138	0	0.6476		5172	3	24.2726	0.0141	45	0	0.2112	
2009-08	海南省	49	0.5738	0		553	0	6.4754		2	0	0.0234		21	0	0.2459		687	0	8.0445		62	0	0.726	
2004-10	西藏					32	0	1.2253						68	0	2.6038		108	0	4.1354		8	0	0.3063	
2008-01	江西省	89	0.2038	0		3083	4	7.0581	0.0092	31	0	0.071		107	0	0.245		3473	4	7.951	0.0092	163	0	0.3732	
2011-10	福建省	187	0.5069	0		3347	3	9.0719	0.0081	70	0	0.1897		58	0	0.1572		4102	3	11.1182	0.0081	440	0	1.1926	
2016-12	辽宁省	638	1.453	0		1672	0	3.8078		146	0	0.3325		161	0	0.3667		2710	0	6.1717		92	0	0.2095	
2015-01	天津市	47	0.3099	0		152	0	1.0021		9	0	0.0593		7	0	0.0461		223	0	1.4702		8	0	0.0527	
2012-10	贵州省	231	0.6659	0		1747	1	5.036	0.0029	28	0	0.0807		54	0	0.1557		2110	1	6.0824	0.0029	50	0	0.1441	
2015-02	山东省	278	0.284	0		3634	1	3.7122	0.001	108	0	0.1103		43	0	0.0439		4177	1	4.2668	0.001	114	0	0.1165	
2016-01	浙江省	214	0.3885	0		1019	0	1.85		142	0	0.2578		26	0	0.0472		1514	0	2.7487		113	0	0.2052	
2011-06	云南省	480	1.0442	1	0.0022	1953	1	4.2488	0.0022	53	0	0.1153		204	0	0.4438		2716	2	5.9087	0.0044	26	0	0.0566	
2009-06	山东省	125	0.1327	0		2904	1	3.0837	0.0011	84	0	0.0892		39	0	0.0414		3321	1	3.5265	0.0011	169	0	0.1795	
2011-08	吉林省	717	2.6108	0		1545	1	5.6258	0.0036	21	0	0.0765		24	0	0.0874		2344	1	8.5352	0.0036	37	0	0.1347	
2005-11	山东省	90	0.0979	0		3201	3	3.4815	0.0033	38	0	0.0413		86	0	0.0935		3652	3	3.972	0.0033	237	0	0.2578	
2014-01	云南省	815	1.739	1	0.0021	2212	0	4.7198		50	0	0.1067		77	0	0.1643		3167	1	6.7576	0.0021	13	0	0.0277	
2007-06	天津市	49	0.4558	0		533	0	4.9581		34	0	0.3163		4	0	0.0372		643	0	5.9814		23	0	0.214	
2016-05	陕西省	658	1.743	0		1754	2	4.6462	0.0053	25	0	0.0662		24	0	0.0636		2479	2	6.5667	0.0053	17	0	0.045	
2015-10	广东省	1720	1.6039	0		11673	6	10.8849	0.0056	224	0	0.2089		156	0	0.1455		13973	7	13.0297	0.0065	200	1	0.1865	0.0009
2005-04	宁    夏	14	0.2375	0		801	0	13.5872		1	0	0.017		59	0	1.0008		889	0	15.0799		14	0	0.2375	
2010-10	海南省	87	1.0069	0		528	0	6.1106		5	0	0.0579		20	0	0.2315		702	0	8.1243		62	0	0.7175	
2006-09	内蒙古	247	1.0352	0		2439	0	10.2221		11	1	0.0461	0.0042	59	0	0.2473		2812	1	11.7854	0.0042	56	0	0.2347	
2005-12	河北省	133	0.1953	1	0.0015	3659	1	5.3734	0.0015	48	0	0.0705		188	0	0.2761		4159	2	6.1076	0.0029	131	0	0.1924	
2014-07	广    西	838	1.7758	0		3198	0	6.7769		91	0	0.1928		93	0	0.1971		4364	0	9.2477		144	0	0.3051	
2015-08	四川省	786	0.9656	0		3428	2	4.2112	0.0025	71	0	0.0872		231	0	0.2838		4611	2	5.6645	0.0025	95	0	0.1167	
2005-04	北京市	82	0.5337	0		550	3	3.5799	0.0195	37	0	0.2408		34	0	0.2213		797	3	5.1876	0.0195	94	0	0.6118	
2004-06	宁夏	9	0.1541	0		820	0	14.0422		2	0	0.0342		110	0	1.8837		967	0	16.5596		26	0	0.4452	
2009-01	安徽省	164	0.2673	1	0.0016	3029	1	4.9373	0.0016	120	0	0.1956		77	0	0.1255		3588	2	5.8484	0.0033	198	0	0.3227	
2005-03	西    藏					33	0	1.2039						25	0	0.912		65	0	2.3713		7	0	0.2554	
2012-12	河南省	2597	2.7663	0		6540	5	6.9663	0.0053	49	0	0.0522		119	0	0.1268		9359	5	9.9691	0.0053	54	0	0.0575	
2016-04	贵州省	397	1.1317	0		1424	0	4.0593		44	0	0.1254		22	0	0.0627		1902	0	5.4218		13	0	0.0371	
2016-08	河北省	684	0.9264	1	0.0014	5053	1	6.8434	0.0014	59	0	0.0799		30	0	0.0406		5885	2	7.9702	0.0027	58	0	0.0786	
2004-04	河南省	423	0.4364	0		9702	1	10.0103	0.001	17	0	0.0175		769	1	0.7934	0.001	11171	3	11.526	0.0031	260	1	0.2683	0.001
2016-08	黑龙江省	326	0.8505	1	0.0026	767	0	2.001		33	0	0.0861		25	0	0.0652		1209	1	3.1542	0.0026	57	0	0.1487	
2009-07	四川省	409	0.4998	0		5876	5	7.1811	0.0061	30	0	0.0367		485	1	0.5927	0.0012	7114	6	8.694	0.0073	314	0	0.3837	
2007-08	黑龙江省	349	0.9129	1	0.0026	1979	5	5.1766	0.0131	56	0	0.1465		65	0	0.17		2625	6	6.8663	0.0157	176	0	0.4604	
2014-03	北京市	87	0.4114	1	0.0047	147	5	0.6951	0.0236	36	0	0.1702		21	0	0.0993		296	6	1.3997	0.0284	5	0	0.0236	
2009-09	河北省	305	0.4364	0		4525	0	6.4746		33	0	0.0472		50	0	0.0715		5001	0	7.1557		88	0	0.1259	
2006-03	全    国	6461	0.4941	20	0.0015	103085	94	7.8838	0.0072	2768	9	0.2117	0.0007	6157	3	0.4709	0.0002	125135	137	9.5701	0.0105	6664	11	0.5097	0.0008
2005-01	内蒙古	184	0.7747	1	0.0042	2287	2	9.6293	0.0084	1	0	0.0042		110	0	0.4632		2654	3	11.1746	0.0126	72	0	0.3032	
2008-07	重庆市	174	0.6179	0		2654	1	9.4247	0.0036	14	0	0.0497		190	0	0.6747		3120	1	11.0796	0.0036	88	0	0.3125	
2005-05	海南省	18	0.2193	0		733	0	8.9317		1	0	0.0122		110	0	1.3404		911	0	11.1007		49	0	0.5971	
2016-01	海南省	243	2.6896	1	0.0111	966	0	10.692		27	0	0.2988		5	0	0.0553		1264	1	13.9903	0.0111	23	0	0.2546	
2004-04	安徽省	68	0.1055	0		3121	2	4.8439	0.0031	99	0	0.1537		358	0	0.5556		4000	2	6.2082	0.0031	354	0	0.5494	
2011-03	青海省	143	2.5414	0		1206	1	21.4335	0.0178	14	0	0.2488		51	0	0.9064		1426	1	25.3434	0.0178	12	0	0.2133	
2016-02	浙江省	178	0.3232	0		913	0	1.6576		149	0	0.2705		44	0	0.0799		1391	0	2.5254		107	0	0.1943	
2011-10	西    藏	5	0.1667	0		83	0	2.7673						4	0	0.1334		92	0	3.0674					
2013-09	天津市	26	0.184	0		108	1	0.7642	0.0071	8	0	0.0566		2	0	0.0142		149	1	1.0544	0.0071	5	0	0.0354	
2014-05	天津市	41	0.2785	0		163	0	1.1072		11	0	0.0747		3	0	0.0204		224	0	1.5215		6	0	0.0408	
2012-05	新疆	1060	4.7992	1	0.0045	3997	2	18.0966	0.0091	19	0	0.086		118	0	0.5342		5244	3	23.7424	0.0136	50	0	0.2264	
2008-11	河南省	1613	1.7233	0		12721	4	13.5908	0.0043	58	0	0.062		301	0	0.3216		14828	4	15.8419	0.0043	135	0	0.1442	
2010-08	辽宁省	511	1.1831	0		2262	2	5.2373	0.0046	60	0	0.1389		38	0	0.088		3070	2	7.1081	0.0046	199	0	0.4608	
2015-12	山东省	365	0.3729	0		3900	2	3.9839	0.002	73	0	0.0746		35	0	0.0358		4467	2	4.5631	0.002	94	0	0.096	
2008-10	云南省	266	0.5893	2	0.0044	1739	2	3.8525	0.0044	38	0	0.0842		323	0	0.7156		2433	4	5.3899	0.0089	67	0	0.1484	
2005-02	陕西省	172	0.4642	0		3260	2	8.7985	0.0054	5	0	0.0135		108	0	0.2915		3665	2	9.8916	0.0054	120	0	0.3239	
2012-11	河南省	2709	2.8856	0		7206	0	7.6758		41	0	0.0437		136	0	0.1449		10147	0	10.8085		55	0	0.0586	
2016-01	西    藏	1	0.0315	0		206	0	6.4872		1	0	0.0315		6	0	0.1889		214	0	6.7391					
2016-06	广东省	1936	1.8053	2	0.0019	12859	2	11.9909	0.0019	250	0	0.2331		174	0	0.1623		15331	4	14.296	0.0037	109	0	0.1016	
2012-03	湖北省	593	1.0299	0		5798	6	10.0695	0.0104	254	1	0.4411	0.0017	103	0	0.1789		6987	8	12.1344	0.0139	239	1	0.4151	0.0017
2009-05	内蒙古	354	1.4666	0		2736	1	11.3351	0.0041	8	0	0.0331		43	0	0.1781		3169	1	13.129	0.0041	28	0	0.116	
2006-07	辽宁省	302	0.7155	1	0.0024	2270	3	5.3779	0.0071	121	0	0.2867		161	0	0.3814		3084	4	7.3063	0.0095	230	0	0.5449	
2007-02	贵州省	66	0.1757	1	0.0027	1826	0	4.86		6	0	0.016		273	0	0.7266		2250	1	5.9885	0.0027	79	0	0.2103	
2007-11	湖北省	291	0.5112	0		5433	9	9.5433	0.0158	98	1	0.1721	0.0018	152	0	0.267		6325	11	11.1101	0.0193	351	1	0.6165	0.0018
2012-04	安徽省	358	0.5999	0		3324	1	5.5697	0.0017	198	0	0.3318		64	0	0.1072		4152	1	6.9571	0.0017	208	0	0.3485	
2006-02	青海省	49	0.9024	0		1003	1	18.4715	0.0184	2	0	0.0368		41	0	0.7551		1113	1	20.4972	0.0184	18	0	0.3315	
2007-07	四川省	230	0.2816	0		7180	11	8.7893	0.0135	55	0	0.0673		673	0	0.8238		8533	11	10.4456	0.0135	395	0	0.4835	
2015-06	山东省	318	0.3248	0		3815	2	3.8971	0.002	81	0	0.0827		34	0	0.0347		4345	2	4.4385	0.002	97	0	0.0991	
2011-12	安徽省	332	0.558	0		2597	0	4.3647		103	0	0.1731		85	0	0.1429		3320	0	5.5798		203	0	0.3412	
2011-01	天津市	34	0.2628	0		187	0	1.4453		24	0	0.1855		1	0	0.0077		257	0	1.9863		11	0	0.085	
2009-04	江苏省	144	0.1876	0		1288	2	1.6777	0.0026	374	2	0.4872	0.0026	168	0	0.2188		2356	5	3.0688	0.0065	382	1	0.4976	0.0013
2009-02	天津市	28	0.2381	0		168	0	1.4286		19	0	0.1616		3	0	0.0255		233	0	1.9813		15	0	0.1276	
2010-02	江西省	103	0.2324	0		2554	2	5.7624	0.0045	66	0	0.1489		54	0	0.1218		2908	2	6.5611	0.0045	131	0	0.2956	
2004-05	云南省	62	0.1424	1	0.0023	1157	2	2.6571	0.0046	28	0	0.0643		581	0	1.3343		1947	3	4.4714	0.0069	119	0	0.2733	
2015-12	河北省	815	1.1038	0		4651	3	6.299	0.0041	59	0	0.0799		42	0	0.0569		5609	3	7.5964	0.0041	42	0	0.0569	
2016-10	海南省	227	2.5125	0		781	0	8.6444		30	0	0.332		8	0	0.0885		1059	0	11.7213		12	0	0.1328	
2016-02	福建省	274	0.7199	0		4931	0	12.9559		89	1	0.2338	0.0026	29	0	0.0762		5505	1	14.464	0.0026	179	0	0.4703	
2012-12	新疆	910	4.1201	0		3903	1	17.671	0.0045	28	0	0.1268		223	0	1.0096		5108	1	23.1267	0.0045	44	0	0.1992	
2015-03	广东省	1870	1.7438	3	0.0028	13336	4	12.4357	0.0037	287	0	0.2676		169	0	0.1576		15842	7	14.7725	0.0065	180	0	0.1678	
2011-03	辽宁省	613	1.4013	0		2723	0	6.2245		171	1	0.3909	0.0023	148	0	0.3383		3864	1	8.8328	0.0023	209	0	0.4778	
2009-09	甘肃省	469	1.7845	0		4245	1	16.1522	0.0038	6	0	0.0228		282	0	1.073		5064	1	19.2685	0.0038	62	0	0.2359	
2006-09	云南省	199	0.4472	0		1863	0	4.1866		19	0	0.0427		735	0	1.6517		2919	0	6.5597		103	0	0.2315	
2014-10	山西省	753	2.0745	0		3672	0	10.1163		63	0	0.1736		108	0	0.2975		4703	0	12.9566		107	0	0.2948	
2012-07	吉林省	637	2.3169	0		1367	0	4.972		17	0	0.0618		17	0	0.0618		2078	0	7.558		40	0	0.1455	
2008-03	湖北省	353	0.6194	0		6899	3	12.1056	0.0053	169	0	0.2965		222	0	0.3895		8048	3	14.1218	0.0053	405	0	0.7107	
2009-08	重庆市	127	0.4473	0		1674	0	5.8964		8	0	0.0282		119	0	0.4192		2024	0	7.1293		96	0	0.3381	
2013-09	河南省	2118	2.2518	2	0.0021	5130	2	5.454	0.0021	42	0	0.0447		67	0	0.0712		7400	4	7.8673	0.0043	43	0	0.0457	
2011-08	云南省	549	1.1944	0		2172	1	4.7252	0.0022	61	0	0.1327		191	0	0.4155		2999	1	6.5243	0.0022	26	0	0.0566	
2007-03	湖南省	196	0.3091	0		2752	3	4.3393	0.0047	60	0	0.0946		202	0	0.3185		3430	4	5.4084	0.0063	220	1	0.3469	0.0016
2010-08	福建省	139	0.3832	0		3678	4	10.1406	0.011	54	0	0.1489		63	0	0.1737		4438	4	12.236	0.011	504	0	1.3896	
2014-07	陕西省	544	1.4453	0		2258	1	5.9989	0.0027	17	0	0.0452		46	0	0.1222		2902	1	7.7099	0.0027	37	0	0.0983	
2011-03	河南省	2963	3.1511	1	0.0011	13401	3	14.2517	0.0032	74	0	0.0787		163	0	0.1733		16672	4	17.7303	0.0043	71	0	0.0755	
2007-02	宁    夏	15	0.2483	0		531	0	8.7914		1	0	0.0166		56	0	0.9272		641	0	10.6126		38	0	0.6291	
2010-01	浙江省	170	0.3282	0		2811	0	5.4266		227	0	0.4382		53	0	0.1023		3526	0	6.8069		265	0	0.5116	
2014-03	福建省	263	0.6969	0		4135	3	10.9565	0.0079	108	0	0.2862		51	0	0.1351		4904	3	12.9942	0.0079	347	0	0.9194	
2011-05	云南省	527	1.1465	0		2042	0	4.4424		43	0	0.0935		192	0	0.4177		2839	0	6.1763		35	0	0.0761	
2011-09	辽宁省	444	1.0149	0		2085	0	4.7661		95	0	0.2172		42	0	0.096		2818	0	6.4417		152	0	0.3475	
2011-11	海南省	80	0.9226	0		595	1	6.8616	0.0115	7	0	0.0807		23	0	0.2652		753	1	8.6836	0.0115	48	0	0.5535	
2013-10	重庆市	265	0.8998	1	0.0034	1565	1	5.3141	0.0034	65	0	0.2207		81	0	0.275		2027	2	6.8829	0.0068	51	0	0.1732	
2011-10	海南省	120	1.3838	0		650	0	7.4958		4	0	0.0461		30	0	0.346		854	0	9.8483		50	0	0.5766	
2005-08	浙江省	118	0.2421	0		3901	3	8.0045	0.0062	78	0	0.16		214	0	0.4391		4809	3	9.8676	0.0062	498	0	1.0218	
2014-04	宁    夏	44	0.6726	0		398	0	6.0839		6	0	0.0917		11	0	0.1681		462	0	7.0622		3	0	0.0459	
2005-08	新    疆	164	0.8252	0		1884	0	9.4798		6	0	0.0302		433	0	2.1787		2636	0	13.2636		149	0	0.7497	
2010-08	江西省	141	0.3181	1	0.0023	2695	2	6.0806	0.0045	24	0	0.0541		81	0	0.1828		3044	3	6.868	0.0068	103	0	0.2324	
2009-09	陕西省	276	0.7337	1	0.0027	2407	1	6.3982	0.0027	10	0	0.0266		74	0	0.1967		2861	3	7.605	0.008	94	1	0.2499	0.0027
2015-05	全    国	18311	1.344	7	0.0005	80583	20	5.9145	0.0015	2165	2	0.1589	0.0001	1756	2	0.1289	0.0001	105183	31	7.72	0.0023	2368	0	0.1738	
2006-03	河北省	191	0.2788	0		5089	0	7.4281		195	0	0.2846		123	0	0.1795		5832	0	8.5126		234	0	0.3416	
2008-02	全    国	7278	0.5508	8	0.0006	86401	78	6.5391	0.0059	1871	2	0.1416	0.0002	3828	0	0.2897		103568	94	7.8384	0.0071	4190	6	0.3171	0.0005
2015-03	山东省	389	0.3974	0		4676	1	4.7766	0.001	170	0	0.1737		61	0	0.0623		5432	1	5.5488	0.001	136	0	0.1389	
2015-02	江苏省	185	0.2324	0		922	1	1.1583	0.0013	350	0	0.4397		45	0	0.0565		1692	1	2.1256	0.0013	190	0	0.2387	
2010-08	安徽省	203	0.3311	0		2559	2	4.1739	0.0033	71	0	0.1158		88	0	0.1435		3161	2	5.1558	0.0033	240	0	0.3915	
2005-06	湖南省	106	0.1684	0		1661	0	2.6392		7	0	0.0111		173	0	0.2749		2082	0	3.3081		135	0	0.2145	
2013-09	宁    夏	47	0.7262	0		359	0	5.5471						10	0	0.1545		418	0	6.4587		2	0	0.0309	
2011-05	上海市	37	0.1607	0		465	0	2.0201		53	1	0.2302	0.0043	12	0	0.0521		594	1	2.5805	0.0043	27	0	0.1173	
2007-08	陕西省	363	0.9719	0		3027	1	8.1044	0.0027	21	0	0.0562		190	1	0.5087	0.0027	3774	2	10.1044	0.0054	173	0	0.4632	
2013-01	北京市	100	0.4833	5	0.0242	254	23	1.2275	0.1111	45	0	0.2175		2	0	0.0097		401	28	1.9379	0.1353				
2008-04	陕西省	305	0.8138	0		2625	0	7.0037		11	0	0.0293		105	0	0.2801		3142	0	8.3831		96	0	0.2561	
2011-02	贵州省	203	0.5842	0		1516	3	4.363	0.0086	30	0	0.0863		77	0	0.2216		1884	3	5.4221	0.0086	58	0	0.1669	
2006-04	广东省	481	0.5232	1	0.0011	8701	10	9.4638	0.0109	178	1	0.1936	0.0011	195	0	0.2121		9972	15	10.8462	0.0163	417	3	0.4536	0.0033
2011-04	安徽省	251	0.4218	0		2830	4	4.7563	0.0067	289	0	0.4857		98	0	0.1647		3739	4	6.284	0.0067	271	0	0.4555	
2016-09	宁    夏	61	0.9221	0		151	0	2.2826		5	0	0.0756		10	0	0.1512		232	0	3.507		5	0	0.0756	
2006-08	上海市	18	0.1012	0		509	0	2.8628		22	0	0.1237		23	0	0.1294		780	2	4.3869	0.0112	208	2	1.1699	0.0112
2010-03	北京市	126	0.7179	2	0.0114	269	9	1.5328	0.0513	66	1	0.3761	0.0057	11	0	0.0627		487	12	2.7749	0.0684	15	0	0.0855	
2012-03	江西省	239	0.5325	0		3231	3	7.1986	0.0067	112	0	0.2495		56	0	0.1248		3799	3	8.464	0.0067	161	0	0.3587	
2014-11	青海省	178	3.0807	0		666	0	11.5267		7	0	0.1212		42	0	0.7269		901	0	15.5939		8	0	0.1385	
2011-06	四川省	636	0.7909	0		4882	3	6.0708	0.0037	96	0	0.1194		329	0	0.4091		6153	3	7.6513	0.0037	210	0	0.2611	
2005-11	天津市	45	0.4321	1	0.0096	515	1	4.9447	0.0096	21	0	0.2016		9	0	0.0864		686	2	6.5866	0.0192	96	0	0.9217	
2004-12	广西	225	0.4634	1	0.0021	1951	2	4.0178	0.0041	5	0	0.0103		113	0	0.2327		2433	4	5.0105	0.0082	139	1	0.2863	0.0021
2014-12	河南省	1969	2.0917	1	0.0011	4662	0	4.9525		59	0	0.0627		36	0	0.0382		6761	1	7.1824	0.0011	35	0	0.0372	
2008-03	吉林省	543	1.989	0		1599	1	5.8572	0.0037	27	0	0.0989		38	0	0.1392		2318	1	8.4909	0.0037	111	0	0.4066	
2006-03	江苏省	130	0.1739	0		1818	0	2.4321		445	0	0.5953		303	0	0.4054		3292	1	4.404	0.0013	596	1	0.7973	0.0013
2006-11	陕西省	347	0.9328	1	0.0027	2748	1	7.3871	0.0027	18	0	0.0484		110	0	0.2957		3338	2	8.9731	0.0054	115	0	0.3091	
2014-09	湖南省	1017	1.52	0		4492	0	6.7139		70	0	0.1046		63	0	0.0942		5775	0	8.6315		133	0	0.1988	
2007-11	山东省	110	0.1182	0		2937	1	3.155	0.0011	66	0	0.0709		50	0	0.0537		3426	1	3.6803	0.0011	263	0	0.2825	
2009-09	上海市	29	0.1536	0		399	2	2.1128	0.0106	30	0	0.1589		22	0	0.1165		517	2	2.7377	0.0106	37	0	0.1959	
2007-03	新疆	606	2.9561	1	0.0049	4514	2	22.0195	0.0098	19	0	0.0927		379	0	1.8488		5661	3	27.6146	0.0146	143	0	0.6976	
2015-02	吉林省	311	1.1299	0		781	0	2.8375		16	0	0.0581		17	0	0.0618		1142	0	4.1491		17	0	0.0618	
2009-10	陕西省	304	0.8081	0		2396	1	6.369	0.0027	21	0	0.0558		80	0	0.2127		2864	1	7.613	0.0027	63	0	0.1675	
2014-12	内蒙古	520	2.082	0		1827	1	7.315	0.004	8	0	0.032		23	0	0.0921		2387	1	9.5571	0.004	9	0	0.036	
2015-02	新疆	767	3.337	0		2683	0	11.673		32	0	0.1392		293	0	1.2748		3822	0	16.6285		47	0	0.2045	
2012-05	黑龙江省	595	1.5519	0		1307	0	3.409		34	0	0.0887		30	0	0.0782		2053	0	5.3547		87	0	0.2269	
2010-06	四川省	568	0.694	0		4660	6	5.6933	0.0073	63	0	0.077		497	0	0.6072		6084	6	7.4331	0.0073	296	0	0.3616	
2005-02	广    西	136	0.2942	1	0.0022	2300	2	4.9759	0.0043	21	0	0.0454		139	0	0.3007		2825	5	6.1117	0.0108	229	2	0.4954	0.0043
2012-01	上海市	288	1.2269	0		1668	6	7.1056	0.0256	122	0	0.5197		22	0	0.0937		2136	6	9.0992	0.0256	36	0	0.1534	
2015-12	宁    夏	89	1.3453	0		277	0	4.1872						18	0	0.2721		389	0	5.8802		5	0	0.0756	
2011-06	天津市	35	0.2705	0		177	0	1.368		13	0	0.1005		2	0	0.0155		234	0	1.8086		7	0	0.0541	
2009-05	河北省	381	0.5452	0		5093	1	7.2873	0.0014	67	0	0.0959		74	0	0.1059		5725	1	8.1916	0.0014	110	0	0.1574	
2016-02	江苏省	239	0.3002	0		1171	1	1.4711	0.0013	294	0	0.3693		48	0	0.0603		1937	1	2.4334	0.0013	185	0	0.2324	
2008-02	黑龙江省	292	0.7636	0		1465	3	3.8311	0.0078	26	0	0.068		34	0	0.0889		1951	3	5.102	0.0078	134	0	0.3504	
2009-07	湖南省	386	0.6046	0		3817	2	5.9783	0.0031	20	0	0.0313		107	0	0.1676		4512	2	7.0668	0.0031	182	0	0.2851	
2015-04	宁    夏	70	1.0581	0		187	0	2.8267		3	0	0.0453		10	0	0.1512		272	0	4.1116		2	0	0.0302	
2011-03	浙江省	211	0.3877	0		2817	0	5.1758		423	0	0.7772		95	0	0.1745		3833	0	7.0425		287	0	0.5273	
2013-05	江西省	231	0.5129	0		3039	0	6.7475		30	0	0.0666		43	0	0.0955		3454	0	7.6689		111	0	0.2465	
2005-02	甘肃省	207	0.8028	0		3016	4	11.6968	0.0155	3	0	0.0116		285	1	1.1053	0.0039	3569	5	13.8415	0.0194	58	0	0.2249	
2005-12	辽宁省	202	0.479	1	0.0024	1613	4	3.8251	0.0095	133	0	0.3154		80	0	0.1897		2232	6	5.293	0.0142	204	1	0.4838	0.0024
2014-02	河北省	669	0.9124	0		4581	1	6.2474	0.0014	81	0	0.1105		35	0	0.0477		5429	1	7.4039	0.0014	63	0	0.0859	
2014-03	江西省	402	0.889	0		3230	0	7.1426		94	0	0.2079		25	0	0.0553		3841	0	8.4937		90	0	0.199	
2009-01	山东省	112	0.1189	1	0.0011	2789	3	2.9616	0.0032	120	0	0.1274		67	0	0.0711		3297	4	3.501	0.0042	209	0	0.2219	
2008-10	吉林省	496	1.8169	0		1358	2	4.9744	0.0073	19	2	0.0696	0.0073	30	0	0.1099		1983	4	7.2638	0.0147	80	0	0.293	
2016-04	广    西	790	1.6618	0		3421	1	7.196	0.0021	139	0	0.2924		45	0	0.0947		4545	1	9.5604	0.0021	150	0	0.3155	
2011-09	宁    夏	46	0.73	0		441	0	6.9985		3	0	0.0476		20	0	0.3174		519	0	8.2363		9	0	0.1428	
2014-05	新疆	1039	4.5886	0		3252	1	14.3621	0.0044	38	0	0.1678		192	0	0.8479		4554	1	20.1122	0.0044	33	0	0.1457	
2016-08	四川省	853	1.0479	0		3370	0	4.1399		102	0	0.1253		185	0	0.2273		4606	0	5.6583		94	0	0.1155	
2012-04	海南省	106	1.2081	0		659	0	7.511		7	0	0.0798		15	0	0.171		810	0	9.232		23	0	0.2621	
2004-06	吉林省	245	0.9192	1	0.0038	1158	3	4.3448	0.0113	19	0	0.0713		158	0	0.5928		1710	4	6.4159	0.015	130	0	0.4878	
2009-06	北京市	141	0.8319	1	0.0059	348	10	2.0531	0.059	24	0	0.1416		23	0	0.1357		550	11	3.2448	0.0649	14	0	0.0826	
2004-11	湖北省	64	0.1065	0		3879	5	6.4561	0.0083	70	0	0.1165		202	0	0.3362		4502	5	7.4929	0.0083	287	0	0.4777	
2004-04	云南省	66	0.1516	0		1165	0	2.6755		26	0	0.0597		467	0	1.0725		1823	0	4.1866		99	0	0.2274	
2013-11	全    国	15443	1.1405	13	0.001	72242	37	5.3353	0.0027	1960	1	0.1448	0.0001	1998	0	0.1476		94348	54	6.9679	0.004	2705	3	0.1998	0.0002
