time	地 区	发病数	死亡数	发病率	死亡率
Aug-11	安徽省	9	0	0.0151	
Jul-12	四川省	35	0	0.0435	
Oct-15	建设兵团	1	0	0.0366	
Oct-14	四川省	10	0	0.0123	
Jun-09	四川省	31	0	0.0379	
Dec-10	新疆	24	0	0.1112	
Jul-07	江苏省	15	0	0.0199	
Jan-12	湖北省	4	0	0.0069	
Oct-06	吉林省	1	0	0.0037	
Oct-04	广东省	2	0	0.0025	
Mar-12	贵州省	9	0	0.0259	
Oct-11	全国	143	1	0.0107	0.0001
Apr-12	湖南省	1	0	0.0015	
Mar-11	湖北省	3	0	0.0052	
Jun-04	甘肃省	16	0	0.0612	
Jul-11	新疆	66	0	0.3025	
Jun-11	辽宁省	1	0	0.0023	
Nov-05	江苏省	1	0	0.0013	
Jun-13	贵州省	2	0	0.0057	
Apr-12	广东省	2	0	0.0019	
Mar-09	陕西省	3	0	0.008	
Sep-09	吉林省	1	0	0.0037	
Dec-08	宁夏	1	0	0.0164	
Mar-11	北京市	1	0	0.0051	
Jun-12	安徽省	8	0	0.0134	
Apr-04	内蒙古	6	0	0.0252	
Oct-05	建设兵团	1	0	0.0393	
May-15	重庆市	30	0	0.1003	
Jan-05	河北省	19	0	0.0279	
Aug-11	重庆市	1	0	0.0035	
Jul-10	辽宁省	1	0	0.0023	
Jan-14	广东省	10	0	0.0094	
Apr-15	北京市	8	0	0.0372	
Nov-04	安徽省	5	0	0.0078	
Mar-08	山东省	18	0	0.0192	
May-15	内蒙古	1	0	0.004	
Oct-15	新疆	117	0	0.509	
Sep-09	湖南省	3	0	0.0047	
Sep-11	四川省	29	0	0.0361	
Aug-04	江西省	22	0	0.0514	
Jan-05	云南省	4	0	0.0091	
Mar-07	辽宁省	1	0	0.0023	
Mar-10	河南省	2	0	0.0021	
Jul-08	甘肃省	8	0	0.0306	
Apr-15	山西省	2	0	0.0055	
Feb-14	重庆市	6	0	0.0202	
Jun-05	吉林省	8	0	0.0295	
May-15	安徽省	5	0	0.0082	
Mar-15	河北省	28	0	0.0379	
Jan-13	浙江省	3	0	0.0055	
Oct-09	新疆	5	0	0.0235	
Aug-09	江苏省	4	0	0.0052	
Jan-08	浙江省	3	0	0.0059	
Jul-09	宁夏	1	0	0.0165	
Sep-13	吉林省	3	0	0.0109	
Oct-13	河北省	9	0	0.0123	
Mar-15	福建省	5	0	0.0131	
Sep-05	江苏省	6	0	0.008	
Mar-10	贵州省	4	0	0.0105	
Oct-04	全国	210	0	0.0162	
Jul-08	四川省	125	0	0.1538	
May-07	新疆	63	0	0.3073	
Sep-05	四川省	15	0	0.0183	
Jun-10	河南省	9	0	0.0095	
Feb-06	天津市	3	0	0.0288	
Mar-12	甘肃省	4	0	0.0156	
Dec-07	新疆	58	0	0.2829	
Jun-07	浙江省	5	0	0.01	
Oct-12	山东省	3	0	0.0031	
Oct-12	重庆市	1	0	0.0034	
May-06	天津市	2	0	0.0192	
Nov-14	山东省	84	0	0.0863	
Jan-14	甘肃省	1	0	0.0039	
Dec-04	山西省	2	0	0.006	
Nov-11	新疆	51	0	0.2338	
Oct-13	天津市	10	0	0.0708	
Jul-11	浙江省	12	0	0.022	
Dec-14	四川省	9	0	0.0111	
Jan-13	新疆	32	0	0.1433	
Jun-07	四川省	56	0	0.0686	
May-13	山西省	2	0	0.0055	
Oct-07	广西	1	0	0.0021	
Feb-13	云南省	1	0	0.0021	
Jun-13	湖南省	1	0	0.0015	
Aug-14	西藏	1	0	0.032	
Oct-06	安徽省	6	0	0.0098	
Sep-12	湖北省	1	0	0.0017	
May-04	河南省	48	0	0.0495	
Aug-15	四川省	28	0	0.0344	
Aug-07	山东省	27	0	0.029	
Nov-11	贵州省	3	0	0.0086	
Feb-10	重庆市	1	0	0.0035	
May-14	江苏省	8	0	0.0101	
Jun-15	山东省	161	0	0.1645	
Oct-10	北京市	2	0	0.0114	
Sep-06	河北省	11	0	0.0161	
Jun-06	湖北省	15	0	0.0263	
Nov-07	重庆市	1	0	0.0036	
Jan-09	甘肃省	4	0	0.0152	
Feb-05	广东省	6	0	0.0066	
